complaint_id,complaint_text,category,city,date_submitted,status,priority,complaint_length,word_count,Water,Roads,Electricity,Sanitation
19,Uneven road surface causing vehicle damage,Roads,Rajkot,2024-03-23,In Progress,High,42,6,0,1,0,0
20,Damaged street roads creating unsafe driving conditions,Roads,Vadodara,2024-01-20,In Progress,Low,55,7,0,1,0,0
21,Voltage fluctuations damaging electrical appliances,Electricity,Vadodara,2024-07-29,In Progress,Medium,51,5,0,0,1,0
22,Uneven road surface causing vehicle damage,Roads,Mumbai,2024-11-26,Resolved,High,42,6,0,1,0,0
23,Damaged street roads creating unsafe driving conditions,Roads,Rajkot,2024-10-31,Resolved,Low,55,7,0,1,0,0
24,Overflowing dustbins causing unhygienic conditions,Sanitation,Rajkot,2024-01-25,Pending,Low,50,5,0,0,0,1
25,Overflowing dustbins causing unhygienic conditions,Sanitation,Mumbai,2024-12-07,Pending,Low,50,5,0,0,0,1
26,Garbage has not been collected for several days,Sanitation,Delhi,2024-11-18,Pending,Low,47,8,0,0,0,1
27,Overflowing dustbins causing unhygienic conditions,Sanitation,Vadodara,2024-04-20,In Progress,High,50,5,0,0,0,1
28,Road has not been repaired for months leading to traffic issues,Roads,Ahmedabad,2024-05-29,Open,High,63,11,0,1,0,0
29,No electricity supply for the past 6 hours,Electricity,Delhi,2024-11-30,Open,High,42,8,0,0,1,0
30,Irregular water supply timings causing inconvenience,Water,Mumbai,2024-03-28,Open,Low,52,6,1,0,0,0
31,Uneven road surface causing vehicle damage,Roads,Delhi,2024-03-17,In Progress,High,42,6,0,1,0,0
32,Irregular water supply timings causing inconvenience,Water,Mumbai,2024-03-01,Resolved,Medium,52,6,1,0,0,0
33,Waste management system is inefficient in this area,Sanitation,Delhi,2024-10-30,Open,Medium,51,8,0,0,0,1
34,Voltage fluctuations damaging electrical appliances,Electricity,Surat,2024-07-26,Pending,Medium,51,5,0,0,1,0
35,Contaminated water is being supplied in our locality,Water,Surat,2024-11-29,Open,Medium,52,8,1,0,0,0
36,Contaminated water is being supplied in our locality,Water,Delhi,2024-07-28,Pending,High,52,8,1,0,0,0
37,Sewage blockage leading to waterlogging,Sanitation,Surat,2024-01-29,Resolved,Medium,39,5,0,0,0,1
38,Road has not been repaired for months leading to traffic issues,Roads,Ahmedabad,2024-12-03,In Progress,High,63,11,0,1,0,0
39,Damaged street roads creating unsafe driving conditions,Roads,Ahmedabad,2024-02-02,Open,Medium,55,7,0,1,0,0
40,Residents are facing severe water shortage for the past three days,Water,Ahmedabad,2024-07-10,In Progress,Low,66,11,1,0,0,0
41,Multiple potholes on the main road causing accidents,Roads,Rajkot,2024-07-21,Resolved,High,52,8,0,1,0,0
42,Damaged street roads creating unsafe driving conditions,Roads,Rajkot,2024-08-31,In Progress,Medium,55,7,0,1,0,0
43,Frequent power cuts occurring in our area every night,Electricity,Ahmedabad,2024-06-12,Pending,High,53,9,0,0,1,0
44,Residents are facing severe water shortage for the past three days,Water,Rajkot,2024-05-14,Resolved,Low,66,11,1,0,0,0
45,Garbage has not been collected for several days,Sanitation,Surat,2024-12-20,Open,Medium,47,8,0,0,0,1
46,Residents are facing severe water shortage for the past three days,Water,Ahmedabad,2024-04-23,Resolved,Low,66,11,1,0,0,0
47,Waste management system is inefficient in this area,Sanitation,Delhi,2024-12-30,In Progress,Low,51,8,0,0,0,1
48,Uneven road surface causing vehicle damage,Roads,Rajkot,2024-04-09,In Progress,Medium,42,6,0,1,0,0
49,Uneven road surface causing vehicle damage,Roads,Ahmedabad,2024-05-04,Resolved,Medium,42,6,0,1,0,0
50,Frequent power cuts occurring in our area every night,Electricity,Vadodara,2024-04-22,Open,Medium,53,9,0,0,1,0
51,Street lights are not functioning in the locality,Electricity,Rajkot,2024-11-16,Open,Medium,49,8,0,0,1,0
52,Voltage fluctuations damaging electrical appliances,Electricity,Vadodara,2024-04-26,Open,Medium,51,5,0,0,1,0
53,Multiple potholes on the main road causing accidents,Roads,Ahmedabad,2024-07-25,Open,Low,52,8,0,1,0,0
54,Garbage has not been collected for several days,Sanitation,Surat,2024-09-12,Open,Medium,47,8,0,0,0,1
55,Voltage fluctuations damaging electrical appliances,Electricity,Mumbai,2024-08-11,In Progress,High,51,5,0,0,1,0
56,Contaminated water is being supplied in our locality,Water,Vadodara,2024-08-21,Open,High,52,8,1,0,0,0
57,Transformer malfunction causing electricity disruption,Electricity,Ahmedabad,2024-02-21,In Progress,Low,54,5,0,0,1,0
58,Sewage blockage leading to waterlogging,Sanitation,Delhi,2024-01-30,Resolved,High,39,5,0,0,0,1
59,Waste management system is inefficient in this area,Sanitation,Delhi,2024-04-29,Open,Low,51,8,0,0,0,1
60,Street lights are not functioning in the locality,Electricity,Delhi,2024-09-28,In Progress,Medium,49,8,0,0,1,0
61,Overflowing dustbins causing unhygienic conditions,Sanitation,Vadodara,2024-01-02,Resolved,Low,50,5,0,0,0,1
62,Overflowing dustbins causing unhygienic conditions,Sanitation,Vadodara,2024-07-11,Resolved,High,50,5,0,0,0,1
63,Damaged street roads creating unsafe driving conditions,Roads,Delhi,2024-03-12,In Progress,High,55,7,0,1,0,0
64,Voltage fluctuations damaging electrical appliances,Electricity,Delhi,2024-01-21,In Progress,Medium,51,5,0,0,1,0
65,Street lights are not functioning in the locality,Electricity,Ahmedabad,2024-01-26,Pending,Low,49,8,0,0,1,0
66,Drainage water is mixing with drinking water supply,Water,Surat,2024-09-22,Open,High,51,8,1,0,0,0
67,Frequent power cuts occurring in our area every night,Electricity,Mumbai,2024-08-25,Pending,Medium,53,9,0,0,1,0
68,Multiple potholes on the main road causing accidents,Roads,Mumbai,2024-05-17,Pending,High,52,8,0,1,0,0
69,There is continuous water leakage from the main pipeline near my house,Water,Surat,2024-02-06,Resolved,Low,70,12,1,0,0,0
70,Multiple potholes on the main road causing accidents,Roads,Delhi,2024-01-18,Resolved,High,52,8,0,1,0,0
71,Multiple potholes on the main road causing accidents,Roads,Mumbai,2024-06-18,Open,Medium,52,8,0,1,0,0
72,Transformer malfunction causing electricity disruption,Electricity,Rajkot,2024-02-20,Pending,Low,54,5,0,0,1,0
73,Waste management system is inefficient in this area,Sanitation,Delhi,2024-07-14,Resolved,Low,51,8,0,0,0,1
74,Uneven road surface causing vehicle damage,Roads,Surat,2024-09-10,Resolved,Medium,42,6,0,1,0,0
75,Irregular water supply timings causing inconvenience,Water,Vadodara,2024-06-17,Resolved,High,52,6,1,0,0,0
76,No electricity supply for the past 6 hours,Electricity,Surat,2024-06-13,Open,Medium,42,8,0,0,1,0
77,Overflowing dustbins causing unhygienic conditions,Sanitation,Delhi,2024-08-30,Resolved,High,50,5,0,0,0,1
78,Damaged street roads creating unsafe driving conditions,Roads,Rajkot,2024-08-27,Resolved,Medium,55,7,0,1,0,0
79,Overflowing dustbins causing unhygienic conditions,Sanitation,Vadodara,2024-02-26,Open,High,50,5,0,0,0,1
80,Transformer malfunction causing electricity disruption,Electricity,Surat,2024-07-08,Open,Low,54,5,0,0,1,0
81,Contaminated water is being supplied in our locality,Water,Mumbai,2024-10-15,Resolved,Medium,52,8,1,0,0,0
82,Sewage blockage leading to waterlogging,Sanitation,Surat,2024-01-14,In Progress,Low,39,5,0,0,0,1
83,Damaged street roads creating unsafe driving conditions,Roads,Surat,2024-07-03,In Progress,Low,55,7,0,1,0,0
84,Transformer malfunction causing electricity disruption,Electricity,Delhi,2024-07-16,Pending,Low,54,5,0,0,1,0
85,Uneven road surface causing vehicle damage,Roads,Vadodara,2024-06-27,Resolved,Medium,42,6,0,1,0,0
86,Street lights are not functioning in the locality,Electricity,Vadodara,2024-12-12,Open,Low,49,8,0,0,1,0
87,Waste management system is inefficient in this area,Sanitation,Vadodara,2024-05-25,Resolved,High,51,8,0,0,0,1
88,Road has not been repaired for months leading to traffic issues,Roads,Ahmedabad,2024-03-16,Open,High,63,11,0,1,0,0
89,No electricity supply for the past 6 hours,Electricity,Delhi,2024-04-29,In Progress,Medium,42,8,0,0,1,0
90,Road has not been repaired for months leading to traffic issues,Roads,Ahmedabad,2024-05-16,Open,Medium,63,11,0,1,0,0
91,Residents are facing severe water shortage for the past three days,Water,Ahmedabad,2024-08-25,Open,Medium,66,11,1,0,0,0
92,Garbage has not been collected for several days,Sanitation,Vadodara,2024-01-23,Pending,High,47,8,0,0,0,1
93,Contaminated water is being supplied in our locality,Water,Ahmedabad,2024-12-08,Resolved,High,52,8,1,0,0,0
94,Street lights are not functioning in the locality,Electricity,Delhi,2024-07-17,Open,Low,49,8,0,0,1,0
95,Residents are facing severe water shortage for the past three days,Water,Vadodara,2024-09-10,In Progress,High,66,11,1,0,0,0
96,Transformer malfunction causing electricity disruption,Electricity,Mumbai,2024-03-20,In Progress,Medium,54,5,0,0,1,0
97,Voltage fluctuations damaging electrical appliances,Electricity,Rajkot,2024-01-01,Open,High,51,5,0,0,1,0
98,No electricity supply for the past 6 hours,Electricity,Rajkot,2024-01-15,In Progress,Medium,42,8,0,0,1,0
99,No electricity supply for the past 6 hours,Electricity,Vadodara,2024-06-25,Open,Medium,42,8,0,0,1,0
100,Voltage fluctuations damaging electrical appliances,Electricity,Rajkot,2024-11-22,Open,Low,51,5,0,0,1,0
101,Voltage fluctuations damaging electrical appliances,Electricity,Rajkot,2024-03-01,Pending,Medium,51,5,0,0,1,0
102,There is continuous water leakage from the main pipeline near my house,Water,Delhi,2024-08-02,In Progress,Medium,70,12,1,0,0,0
103,Contaminated water is being supplied in our locality,Water,Delhi,2024-02-25,Pending,Low,52,8,1,0,0,0
104,Drainage water is mixing with drinking water supply,Water,Surat,2024-01-02,In Progress,High,51,8,1,0,0,0
105,Waste management system is inefficient in this area,Sanitation,Surat,2024-04-30,Open,Medium,51,8,0,0,0,1
106,Uneven road surface causing vehicle damage,Roads,Ahmedabad,2024-03-06,In Progress,High,42,6,0,1,0,0
107,Street lights are not functioning in the locality,Electricity,Ahmedabad,2024-04-26,Resolved,Medium,49,8,0,0,1,0
108,Transformer malfunction causing electricity disruption,Electricity,Rajkot,2024-05-10,Pending,Medium,54,5,0,0,1,0
109,Contaminated water is being supplied in our locality,Water,Mumbai,2024-10-27,In Progress,High,52,8,1,0,0,0
110,There is continuous water leakage from the main pipeline near my house,Water,Rajkot,2024-03-15,Pending,Low,70,12,1,0,0,0
111,Residents are facing severe water shortage for the past three days,Water,Delhi,2024-05-26,In Progress,High,66,11,1,0,0,0
112,Street lights are not functioning in the locality,Electricity,Delhi,2024-07-27,Pending,Medium,49,8,0,0,1,0
113,Transformer malfunction causing electricity disruption,Electricity,Mumbai,2024-10-13,Open,Low,54,5,0,0,1,0
114,There is continuous water leakage from the main pipeline near my house,Water,Mumbai,2024-08-01,In Progress,Low,70,12,1,0,0,0
115,Multiple potholes on the main road causing accidents,Roads,Vadodara,2024-01-03,In Progress,Medium,52,8,0,1,0,0
116,Voltage fluctuations damaging electrical appliances,Electricity,Delhi,2024-02-04,In Progress,Medium,51,5,0,0,1,0
117,Construction work left road in poor condition,Roads,Delhi,2024-05-06,Pending,High,45,7,0,1,0,0
118,Transformer malfunction causing electricity disruption,Electricity,Delhi,2024-03-13,In Progress,Low,54,5,0,0,1,0
119,Uneven road surface causing vehicle damage,Roads,Surat,2024-08-19,Resolved,High,42,6,0,1,0,0
120,Overflowing dustbins causing unhygienic conditions,Sanitation,Surat,2024-07-01,In Progress,High,50,5,0,0,0,1
121,Uneven road surface causing vehicle damage,Roads,Mumbai,2024-10-02,In Progress,Medium,42,6,0,1,0,0
122,Residents are facing severe water shortage for the past three days,Water,Delhi,2024-02-23,In Progress,High,66,11,1,0,0,0
123,Dirty streets creating health hazards,Sanitation,Rajkot,2024-03-27,Resolved,Medium,37,5,0,0,0,1
124,Uneven road surface causing vehicle damage,Roads,Delhi,2024-02-08,Resolved,Low,42,6,0,1,0,0
125,Garbage has not been collected for several days,Sanitation,Surat,2024-11-05,In Progress,Medium,47,8,0,0,0,1
126,Uneven road surface causing vehicle damage,Roads,Surat,2024-03-15,Open,Low,42,6,0,1,0,0
127,Waste management system is inefficient in this area,Sanitation,Rajkot,2024-01-25,In Progress,Low,51,8,0,0,0,1
128,Multiple potholes on the main road causing accidents,Roads,Ahmedabad,2024-01-30,Open,High,52,8,0,1,0,0
129,Road has not been repaired for months leading to traffic issues,Roads,Delhi,2024-12-26,Resolved,High,63,11,0,1,0,0
130,Road has not been repaired for months leading to traffic issues,Roads,Delhi,2024-11-20,Pending,Low,63,11,0,1,0,0
131,Garbage has not been collected for several days,Sanitation,Ahmedabad,2024-04-23,In Progress,High,47,8,0,0,0,1
132,No electricity supply for the past 6 hours,Electricity,Rajkot,2024-09-29,Pending,Low,42,8,0,0,1,0
133,Drainage water is mixing with drinking water supply,Water,Delhi,2024-10-02,Pending,Low,51,8,1,0,0,0
134,No electricity supply for the past 6 hours,Electricity,Mumbai,2024-05-15,Resolved,Low,42,8,0,0,1,0
135,Overflowing dustbins causing unhygienic conditions,Sanitation,Ahmedabad,2024-09-29,Resolved,Medium,50,5,0,0,0,1
136,Multiple potholes on the main road causing accidents,Roads,Ahmedabad,2024-01-02,Pending,High,52,8,0,1,0,0
137,Road has not been repaired for months leading to traffic issues,Roads,Vadodara,2024-09-17,Open,Medium,63,11,0,1,0,0
138,Garbage has not been collected for several days,Sanitation,Delhi,2024-05-19,Open,Low,47,8,0,0,0,1
139,Damaged street roads creating unsafe driving conditions,Roads,Vadodara,2024-10-25,Pending,Medium,55,7,0,1,0,0
140,Irregular water supply timings causing inconvenience,Water,Ahmedabad,2024-07-21,Open,High,52,6,1,0,0,0
141,Irregular water supply timings causing inconvenience,Water,Vadodara,2024-07-05,In Progress,Low,52,6,1,0,0,0
142,Multiple potholes on the main road causing accidents,Roads,Vadodara,2024-12-22,Resolved,Low,52,8,0,1,0,0
143,Damaged street roads creating unsafe driving conditions,Roads,Rajkot,2024-05-10,In Progress,Medium,55,7,0,1,0,0
144,Uneven road surface causing vehicle damage,Roads,Delhi,2024-03-23,Pending,Low,42,6,0,1,0,0
145,Drainage water is mixing with drinking water supply,Water,Surat,2024-09-12,In Progress,Medium,51,8,1,0,0,0
146,Voltage fluctuations damaging electrical appliances,Electricity,Surat,2024-02-12,Open,Low,51,5,0,0,1,0
147,Contaminated water is being supplied in our locality,Water,Mumbai,2024-03-18,Pending,Low,52,8,1,0,0,0
148,Damaged street roads creating unsafe driving conditions,Roads,Surat,2024-05-13,In Progress,Low,55,7,0,1,0,0
149,Dirty streets creating health hazards,Sanitation,Surat,2024-03-07,Pending,Medium,37,5,0,0,0,1
150,No electricity supply for the past 6 hours,Electricity,Rajkot,2024-10-14,Resolved,High,42,8,0,0,1,0
151,Transformer malfunction causing electricity disruption,Electricity,Vadodara,2024-09-01,Resolved,High,54,5,0,0,1,0
152,Sewage blockage leading to waterlogging,Sanitation,Ahmedabad,2024-11-23,Open,High,39,5,0,0,0,1
153,Frequent power cuts occurring in our area every night,Electricity,Mumbai,2024-05-23,Resolved,Low,53,9,0,0,1,0
154,Waste management system is inefficient in this area,Sanitation,Vadodara,2024-07-16,Resolved,Medium,51,8,0,0,0,1
155,Sewage blockage leading to waterlogging,Sanitation,Vadodara,2024-11-23,Pending,High,39,5,0,0,0,1
156,Frequent power cuts occurring in our area every night,Electricity,Ahmedabad,2024-08-30,Open,High,53,9,0,0,1,0
157,There is continuous water leakage from the main pipeline near my house,Water,Vadodara,2024-05-21,Pending,High,70,12,1,0,0,0
158,Irregular water supply timings causing inconvenience,Water,Mumbai,2024-07-26,In Progress,Low,52,6,1,0,0,0
159,Damaged street roads creating unsafe driving conditions,Roads,Delhi,2024-03-09,In Progress,Medium,55,7,0,1,0,0
160,Waste management system is inefficient in this area,Sanitation,Rajkot,2024-08-31,In Progress,Medium,51,8,0,0,0,1
161,Street lights are not functioning in the locality,Electricity,Surat,2024-09-22,In Progress,High,49,8,0,0,1,0
162,Uneven road surface causing vehicle damage,Roads,Ahmedabad,2024-05-29,Open,Low,42,6,0,1,0,0
163,Street lights are not functioning in the locality,Electricity,Delhi,2024-12-02,Resolved,Medium,49,8,0,0,1,0
164,Road has not been repaired for months leading to traffic issues,Roads,Rajkot,2024-08-28,Pending,Medium,63,11,0,1,0,0
165,Irregular water supply timings causing inconvenience,Water,Delhi,2024-12-07,In Progress,High,52,6,1,0,0,0
166,There is continuous water leakage from the main pipeline near my house,Water,Ahmedabad,2024-02-17,In Progress,Low,70,12,1,0,0,0
167,Overflowing dustbins causing unhygienic conditions,Sanitation,Rajkot,2024-07-23,Resolved,Low,50,5,0,0,0,1
168,Dirty streets creating health hazards,Sanitation,Rajkot,2024-07-10,Open,Low,37,5,0,0,0,1
169,Street lights are not functioning in the locality,Electricity,Surat,2024-10-06,Pending,High,49,8,0,0,1,0
170,Street lights are not functioning in the locality,Electricity,Rajkot,2024-11-19,Open,High,49,8,0,0,1,0
171,Uneven road surface causing vehicle damage,Roads,Surat,2024-10-17,Open,High,42,6,0,1,0,0
172,Sewage blockage leading to waterlogging,Sanitation,Delhi,2024-03-09,Open,High,39,5,0,0,0,1
173,Voltage fluctuations damaging electrical appliances,Electricity,Rajkot,2024-06-04,Resolved,Medium,51,5,0,0,1,0
174,Residents are facing severe water shortage for the past three days,Water,Delhi,2024-01-16,Resolved,High,66,11,1,0,0,0
175,Road has not been repaired for months leading to traffic issues,Roads,Ahmedabad,2024-10-06,Resolved,High,63,11,0,1,0,0
176,Drainage water is mixing with drinking water supply,Water,Delhi,2024-03-28,Open,High,51,8,1,0,0,0
177,Damaged street roads creating unsafe driving conditions,Roads,Rajkot,2024-12-17,In Progress,Medium,55,7,0,1,0,0
178,No electricity supply for the past 6 hours,Electricity,Surat,2024-05-14,In Progress,High,42,8,0,0,1,0
179,Multiple potholes on the main road causing accidents,Roads,Surat,2024-01-31,Resolved,High,52,8,0,1,0,0
180,Voltage fluctuations damaging electrical appliances,Electricity,Delhi,2024-05-13,Open,High,51,5,0,0,1,0
181,Garbage has not been collected for several days,Sanitation,Delhi,2024-04-10,Pending,Medium,47,8,0,0,0,1
182,Uneven road surface causing vehicle damage,Roads,Ahmedabad,2024-11-25,Pending,Low,42,6,0,1,0,0
183,Transformer malfunction causing electricity disruption,Electricity,Ahmedabad,2024-01-05,Open,Medium,54,5,0,0,1,0
184,Road has not been repaired for months leading to traffic issues,Roads,Surat,2024-11-15,Open,Medium,63,11,0,1,0,0
185,Construction work left road in poor condition,Roads,Vadodara,2024-03-15,Pending,Medium,45,7,0,1,0,0
186,Road has not been repaired for months leading to traffic issues,Roads,Delhi,2024-11-05,Open,Low,63,11,0,1,0,0
187,Residents are facing severe water shortage for the past three days,Water,Surat,2024-04-28,Open,High,66,11,1,0,0,0
188,Multiple potholes on the main road causing accidents,Roads,Ahmedabad,2024-04-07,Resolved,Medium,52,8,0,1,0,0
189,Irregular water supply timings causing inconvenience,Water,Mumbai,2024-05-18,In Progress,High,52,6,1,0,0,0
190,Street lights are not functioning in the locality,Electricity,Mumbai,2024-09-20,Pending,Medium,49,8,0,0,1,0
191,Frequent power cuts occurring in our area every night,Electricity,Ahmedabad,2024-09-03,Resolved,Medium,53,9,0,0,1,0
192,No electricity supply for the past 6 hours,Electricity,Rajkot,2024-08-05,Resolved,Low,42,8,0,0,1,0
193,Dirty streets creating health hazards,Sanitation,Ahmedabad,2024-07-03,In Progress,Medium,37,5,0,0,0,1
194,Garbage has not been collected for several days,Sanitation,Mumbai,2024-10-24,Open,Medium,47,8,0,0,0,1
195,Sewage blockage leading to waterlogging,Sanitation,Delhi,2024-12-15,Open,Low,39,5,0,0,0,1
196,Contaminated water is being supplied in our locality,Water,Vadodara,2024-01-28,Resolved,High,52,8,1,0,0,0
197,Irregular water supply timings causing inconvenience,Water,Mumbai,2024-04-15,In Progress,High,52,6,1,0,0,0
198,Drainage water is mixing with drinking water supply,Water,Ahmedabad,2024-01-23,Pending,Low,51,8,1,0,0,0
199,There is continuous water leakage from the main pipeline near my house,Water,Mumbai,2024-05-17,Resolved,Low,70,12,1,0,0,0
200,Voltage fluctuations damaging electrical appliances,Electricity,Vadodara,2024-10-07,In Progress,High,51,5,0,0,1,0
201,Contaminated water is being supplied in our locality,Water,Ahmedabad,2024-09-15,Pending,Medium,52,8,1,0,0,0
202,No electricity supply for the past 6 hours,Electricity,Surat,2024-02-20,Open,Medium,42,8,0,0,1,0
203,Irregular water supply timings causing inconvenience,Water,Delhi,2024-09-14,Open,Medium,52,6,1,0,0,0
204,Sewage blockage leading to waterlogging,Sanitation,Surat,2024-06-07,Open,Medium,39,5,0,0,0,1
205,No electricity supply for the past 6 hours,Electricity,Delhi,2024-11-15,Pending,High,42,8,0,0,1,0
206,Sewage blockage leading to waterlogging,Sanitation,Vadodara,2024-12-11,Resolved,Low,39,5,0,0,0,1
207,Street lights are not functioning in the locality,Electricity,Mumbai,2024-12-30,In Progress,Medium,49,8,0,0,1,0
208,There is continuous water leakage from the main pipeline near my house,Water,Mumbai,2024-12-11,In Progress,Low,70,12,1,0,0,0
209,Waste management system is inefficient in this area,Sanitation,Delhi,2024-12-02,In Progress,Medium,51,8,0,0,0,1
210,Multiple potholes on the main road causing accidents,Roads,Delhi,2024-12-31,Pending,High,52,8,0,1,0,0
211,Drainage water is mixing with drinking water supply,Water,Ahmedabad,2024-11-18,In Progress,Medium,51,8,1,0,0,0
212,Garbage has not been collected for several days,Sanitation,Rajkot,2024-02-07,Pending,High,47,8,0,0,0,1
213,Transformer malfunction causing electricity disruption,Electricity,Vadodara,2024-03-04,Open,Medium,54,5,0,0,1,0
214,Construction work left road in poor condition,Roads,Vadodara,2024-05-03,Open,High,45,7,0,1,0,0
215,Residents are facing severe water shortage for the past three days,Water,Rajkot,2024-03-07,Resolved,Medium,66,11,1,0,0,0
216,Contaminated water is being supplied in our locality,Water,Vadodara,2024-08-04,Open,Low,52,8,1,0,0,0
217,Contaminated water is being supplied in our locality,Water,Mumbai,2024-10-31,Resolved,High,52,8,1,0,0,0
218,Damaged street roads creating unsafe driving conditions,Roads,Surat,2024-04-17,Pending,High,55,7,0,1,0,0
219,Construction work left road in poor condition,Roads,Mumbai,2024-09-24,Resolved,Medium,45,7,0,1,0,0
220,Frequent power cuts occurring in our area every night,Electricity,Delhi,2024-01-17,Resolved,High,53,9,0,0,1,0
221,Contaminated water is being supplied in our locality,Water,Rajkot,2024-08-13,Pending,Medium,52,8,1,0,0,0
222,Frequent power cuts occurring in our area every night,Electricity,Delhi,2024-09-25,Resolved,Medium,53,9,0,0,1,0
223,Frequent power cuts occurring in our area every night,Electricity,Delhi,2024-10-10,Pending,High,53,9,0,0,1,0
224,Dirty streets creating health hazards,Sanitation,Mumbai,2024-02-11,Resolved,High,37,5,0,0,0,1
225,Street lights are not functioning in the locality,Electricity,Mumbai,2024-07-28,In Progress,Medium,49,8,0,0,1,0
226,Construction work left road in poor condition,Roads,Ahmedabad,2024-03-22,In Progress,High,45,7,0,1,0,0
227,There is continuous water leakage from the main pipeline near my house,Water,Vadodara,2024-12-30,In Progress,High,70,12,1,0,0,0
228,Uneven road surface causing vehicle damage,Roads,Ahmedabad,2024-04-05,Resolved,Low,42,6,0,1,0,0
229,Frequent power cuts occurring in our area every night,Electricity,Vadodara,2024-07-05,Pending,Low,53,9,0,0,1,0
230,No electricity supply for the past 6 hours,Electricity,Ahmedabad,2024-07-04,Open,High,42,8,0,0,1,0
231,Irregular water supply timings causing inconvenience,Water,Surat,2024-11-26,Pending,Medium,52,6,1,0,0,0
232,Garbage has not been collected for several days,Sanitation,Rajkot,2024-04-05,In Progress,High,47,8,0,0,0,1
233,Damaged street roads creating unsafe driving conditions,Roads,Rajkot,2024-06-01,Resolved,Low,55,7,0,1,0,0
234,Contaminated water is being supplied in our locality,Water,Ahmedabad,2024-07-20,Pending,High,52,8,1,0,0,0
235,Frequent power cuts occurring in our area every night,Electricity,Vadodara,2024-11-05,Resolved,Low,53,9,0,0,1,0
236,Contaminated water is being supplied in our locality,Water,Rajkot,2024-11-10,Resolved,Medium,52,8,1,0,0,0
237,Overflowing dustbins causing unhygienic conditions,Sanitation,Delhi,2024-02-17,In Progress,High,50,5,0,0,0,1
238,Residents are facing severe water shortage for the past three days,Water,Ahmedabad,2024-01-30,Resolved,Low,66,11,1,0,0,0
239,Road has not been repaired for months leading to traffic issues,Roads,Delhi,2024-10-07,Open,High,63,11,0,1,0,0
240,Overflowing dustbins causing unhygienic conditions,Sanitation,Surat,2024-05-01,Pending,High,50,5,0,0,0,1
241,Transformer malfunction causing electricity disruption,Electricity,Vadodara,2024-07-03,In Progress,Medium,54,5,0,0,1,0
242,Residents are facing severe water shortage for the past three days,Water,Surat,2024-02-29,Resolved,High,66,11,1,0,0,0
243,Dirty streets creating health hazards,Sanitation,Surat,2024-11-19,In Progress,Low,37,5,0,0,0,1
244,Sewage blockage leading to waterlogging,Sanitation,Mumbai,2024-10-20,Pending,Medium,39,5,0,0,0,1
245,Uneven road surface causing vehicle damage,Roads,Delhi,2024-09-04,Pending,Low,42,6,0,1,0,0
246,Waste management system is inefficient in this area,Sanitation,Surat,2024-01-01,Resolved,High,51,8,0,0,0,1
247,Contaminated water is being supplied in our locality,Water,Rajkot,2024-12-11,Resolved,High,52,8,1,0,0,0
248,Drainage water is mixing with drinking water supply,Water,Mumbai,2024-11-01,Open,Medium,51,8,1,0,0,0
249,Waste management system is inefficient in this area,Sanitation,Mumbai,2024-04-12,Pending,High,51,8,0,0,0,1
250,Construction work left road in poor condition,Roads,Mumbai,2024-07-31,Open,High,45,7,0,1,0,0
251,Contaminated water is being supplied in our locality,Water,Rajkot,2024-11-01,Pending,High,52,8,1,0,0,0
